Timestamp,Trial_ID,Horizontal_Ratio,Vertical_Ratio,EAR,Eye_Direction,Dwell_Confirmed,Blink_Duration_ms,Input_Source,FSM_State,Wheelchair_Command,Left_PWM,Right_PWM,Fail_Safe_Triggered,FPS
1788178023.9293509,logic1,0.19980447430959403,0.41223808106148785,0.3089229698778209,RIGHT,True,,GAZE,TURN_RIGHT,R,130,69,,32.58724263848963
1788178023.9632037,logic1,0.20408716514364036,0.4092810873617556,0.30935942711168285,RIGHT,True,,GAZE,TURN_RIGHT,R,132,71,,29.541512889139316
1788178023.9990485,logic1,0.20246832936658005,0.4147615906588391,0.31019940317679207,RIGHT,True,,GAZE,TURN_RIGHT,R,135,72,,27.896933821084136
1788178024.0315611,logic1,0.20854934675085596,0.41413713513890643,0.3067950380342229,RIGHT,True,,GAZE,TURN_RIGHT,R,136,73,,30.75792175411579
1788178024.063502,logic1,0.2078963111312054,0.4111921290803438,0.3061381468843364,RIGHT,True,,GAZE,TURN_RIGHT,R,138,74,,31.30755163430892
1788178024.0990775,logic1,0.2085017894109686,0.405391306982242,0.3067029504556939,RIGHT,True,,GAZE,TURN_RIGHT,R,140,74,,28.109696271077393
1788178024.1314032,logic1,0.2087847333534843,0.40124579088220125,0.3071755468331546,RIGHT,True,,GAZE,TURN_RIGHT,R,141,75,,30.934639269541105
1788178024.1629975,logic1,0.20869672924475463,0.399666144132922,0.3064879807648592,RIGHT,True,,GAZE,TURN_RIGHT,R,142,76,,31.65130248422832
1788178024.1987522,logic1,0.2065996689401342,0.40212050019341633,0.3093913216589739,RIGHT,True,,GAZE,TURN_RIGHT,R,143,76,,27.968552662287866
1788178024.2306602,logic1,0.20102198238315128,0.40502299198135266,0.3112641649633302,RIGHT,True,,GAZE,TURN_RIGHT,R,144,77,,31.339833972189222
1788178024.2628675,logic1,0.20309081413860763,0.408553087593498,0.3104496904469814,RIGHT,True,,GAZE,TURN_RIGHT,R,145,77,,31.048679379367524
1788178024.2990854,logic1,0.23926808834779723,0.4083597999313084,0.3042704318856759,RIGHT,True,,GAZE,TURN_RIGHT,R,145,78,,27.610635314563325
1788178024.3308432,logic1,0.3063729653682752,0.4027015797377932,0.2965000220668569,RIGHT,True,,GAZE,TURN_RIGHT,R,146,78,,31.488532368375612
1788178024.363227,logic1,0.3793385454264983,0.40393427621677236,0.2905735334646714,CENTER,True,,GAZE,TURN_RIGHT,R,146,78,,30.88043350217929
1788178024.3995113,logic1,0.4418060304382547,0.4052175224614679,0.28997099808159144,CENTER,True,,GAZE,TURN_RIGHT,R,147,78,,27.559474607565495
1788178024.4307659,logic1,0.4689053420564842,0.40529046011534897,0.2926016803127277,CENTER,True,,GAZE,TURN_RIGHT,R,147,79,,32.00488355767176
1788178024.4633615,logic1,0.4706351139095494,0.40599283673877523,0.29514103882691567,CENTER,True,,GAZE,TURN_RIGHT,R,148,79,,30.669757306755777
1788178024.4995432,logic1,0.4656997308423301,0.40293030166965305,0.2950601949399328,CENTER,True,,GAZE,TURN_RIGHT,R,148,79,,27.63847228445663
1788178024.5313115,logic1,0.47022151613987623,0.4018865402300408,0.28889884780773567,CENTER,False,,GAZE,STOPPED,S,129,69,,31.47884300746011
